[ERROR] [2017-05-08 10:23:26,875] [nioEventLoopGroup-3-1] [tcp.task.ServerTask] there are no adapt type
[ERROR] [2017-05-08 14:09:54,354] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,354] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,354] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,355] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,355] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,355] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,355] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,355] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,356] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,356] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,356] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,357] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,357] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,357] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,357] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,358] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,358] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,358] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,358] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,358] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,358] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,358] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,359] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,359] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,359] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,359] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,359] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,360] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,360] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,360] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,360] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,360] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,361] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,361] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,362] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,362] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,363] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,364] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,365] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,365] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,365] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,366] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,366] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,366] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,366] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,366] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,366] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,367] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,367] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,367] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,368] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,368] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,368] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,368] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,369] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,370] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,370] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,370] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,371] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,371] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,371] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,372] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,372] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,373] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,373] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,373] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,373] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,374] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,374] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,374] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,374] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,374] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,374] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,375] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,375] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,375] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,375] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,375] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,375] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,376] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,376] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,376] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,376] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,376] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,376] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,376] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,377] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,377] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,377] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,377] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,377] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,377] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,378] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,378] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,378] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,378] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,378] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,378] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,378] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,379] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:54,379] [nioEventLoopGroup-3-3] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,527] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,527] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,527] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,528] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,528] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,528] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,528] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,529] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,529] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,529] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,529] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,529] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,529] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,530] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,530] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,530] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,531] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,532] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,533] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,534] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,534] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,535] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,536] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,536] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,537] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,537] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,538] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,539] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,541] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,542] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,542] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,543] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,543] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,544] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,544] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,544] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,544] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,545] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,545] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,545] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,545] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,545] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,546] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,546] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,546] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,546] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,546] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,547] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,547] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,547] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,548] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,548] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,548] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,548] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,548] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,548] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,549] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,549] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,549] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,549] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,549] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,549] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,550] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,550] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,550] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,550] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,550] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,551] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,551] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,551] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,551] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,552] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,552] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,552] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,552] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,552] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,552] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,553] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,553] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,553] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,553] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,553] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,553] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,553] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,553] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,554] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,554] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,554] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,554] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,554] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,554] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,554] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,555] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,555] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,555] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,555] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,555] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,555] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,556] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,556] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,556] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,556] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,556] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,557] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,557] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,559] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,559] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,561] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,561] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,561] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,562] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,562] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,563] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,563] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,563] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,563] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,563] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,563] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,564] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,564] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,564] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,564] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,564] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,564] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,565] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,565] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,565] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,565] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,565] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,567] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,567] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,568] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,568] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,568] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
[ERROR] [2017-05-08 14:09:55,569] [nioEventLoopGroup-3-4] [tcp.netty.ServerHandler] ctx close!
